moto,0,11,13
rolemodname,SuperNewRoles,SuperNewRoles,rolemodname
StartLogText,\n---------------\nSuperNewRoles\nCreate By ykundesu\nThank You Play SuperNewRoles\n---------------,\n---------------\nSuperNewRoles\n作成:ykundesu\nSuperNewRolesをプレイしてくれてありがとうございます!!!!\n---------------,StartLogText
second,Second,秒,second
announcementUpdate,<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> NewData</size>\nVersion:{0}\n{1},<size=200%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>の最新情報</size>\n<size=150%>バージョン:{0}</size>\n{1},announcementUpdate
GameCommonTasks,Common Tasks,通常タスク,GameCommonTasks
GameShortTasks,Short Tasks,ショートタスク,GameShortTasks
GameLongTasks,Long Tasks,ロングタスク,GameLongTasks
colorSalmon,Salmon,サーモン,colorSalmon
colorBordeaux,Bordeaux,ボルドー,colorBordeaux
colorOlive,Olive,オリーブ,colorOlive
colorTurqoise,Turqoise,ターコイズ,colorTurqoise
colorMint,Mint,ミント,colorMint
colorLavender,Lavender,ラベンダー,colorLavender
colorNougat,Nougat,ヌガー,colorNougat
colorPeach,Peach,ピーチ,colorPeach
colorWasabi,Wasabi,ワサビ,colorWasabi
colorHotPink,Hot Pink,ホットピンク,colorHotPink
colorPetrol,Petrol Blue,ペトロールブルー,colorPetrol
colorLemon,Lemon,檸檬,colorLemon
colorSignalOrange,Signal Orange,シグナルオレンジ,colorSignalOrange
colorTeal,Teal,ティール,colorTeal
colorBlurple,Blurple,ブラープル,colorBlurple
colorSunrise,Sunrise,サンライズ,colorSunrise
colorIce,Ice,アイス,colorIce
colorPitchBlack,Pitch Black,真っ黒,colorPitchBlack
colorDarkmagenta,Dark Magenta,ダークマゼンタ,colorDarkmagenta
colorMintcream,Mint Cream,ミントクリーム,colorMintcream
colorLeaf,Leaf,若葉,colorLeaf
colorEmerald,Emerald,エメラルド,colorEmerald
colorBrightyellow,Bright yellow,山吹,colorBrightyellow
colorDarkaqua,Dark aqua,濃い水色,colorDarkaqua
colorMatcha,Matcha,抹茶,colorMatcha
colorPitchwhite,Pitch white,真っ白,colorPitchwhite
colorDarksky,Dark sky,雨空,colorDarksky
colorIntenseblue,Intense blue,インスタントブルー,colorIntenseblue
colorBlueclosertoblack,Blue closer to black,黒寄りの青,colorBlueclosertoblack
colorSunkengreenishblue,Sunken greenish blue,沈んだ緑みの青,colorSunkengreenishblue
colorAzi,Azi,アジ,colorAzi
colorPitchred,Pitch red,真っ赤,colorPitchred
colorPitchblue,Pitch blue,真っ青,colorPitchblue
colorPitchgreen,Pitch green,真っ緑,colorPitchgreen
colorPitchyellow,Pitch yellow,真っ黄色,colorPitchyellow
colorBackblue,Back blue,影青,colorBackblue
colorMildpurple,Mild purple,穏やかな紫,colorMildpurple
colorAshishreddishpurplecolor,Ashish reddish purple color,灰みの赤紫系の色,colorAshishreddishpurplecolor
colorMelon,Melon,メロン,colorMelon
colorCrasyublue,Crasyu Blue,クラッシュブルー,colorCrasyublue
colorLightgreen,Light Green,ライトグリーン,colorLightgreen
Hat_SNR,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>Hats,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>Hats,Hat_SNR
MapCustom,Map Custom,マップ改造,MapCustom
