Key,English,Japanese,SChinese,TChinese

# This file is for mod translation
# Lines with "#" as the first character are not recognized
# A one-byte comma "," may not be used except for delimitation.
# So，please use a full-width comma "，".

# このファイルはmodの翻訳をするためのファイルです
# 最初の文字が「#」の行は認識されません
# また、半角のカンマ「,」を用いることはできません。
# 代わりに「，」を使用してください。

# 这个文件是用来翻译mod的
# 带有第一个字符 "#" 的行不会被识别
# 一个字节的逗号"，"不得使用，只能用作分隔符。
# 使用全角逗号"，"作为代替。

# 此文件用於翻譯本模組
# 第一個字元為「#」的行不會被識別
# 半形逗號「,」不得使用，只能用作分隔符號。
# 作為代替請使用全形逗號「，」。

# Main
rolemodname,SuperNewRoles,SuperNewRoles,SuperNewRoles,SuperNewRoles
StartLogText,Create By ykundesu\nThank You Play SuperNewRoles,作成:ykundesu\nSuperNewRolesをプレイしてくれてありがとうございます!!!!,模组作者：ykundesu\n感谢游玩本模组！,模組作者：ykundesu\n感謝您遊玩本模組！
second,Second,秒,秒,秒
announcementUpdateMae,<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> NewData</size>\nVersion:{0}\n{1},<size=200%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>の最新情報</size>\n<size=150%>バージョン:{0}</size>\n{1},<size=200%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>的最新信息</size>\n<size=150%>版本:{0}</size>\n{1},<size=200%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>的最新信息</size>\n<size=150%>版本:{0}</size>\n{1}
announcementUpdateTitle,<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> Update v{0},<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#ff0000>New</color><color=#00ff00>Roles</color> v{0},<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> v{0},<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> v{0}
GameCommonTasks,Common Tasks,通常タスク,普通任务,普通任務
GameShortTasks,Short Tasks,ショートタスク,长任务,長任務
GameLongTasks,Long Tasks,ロングタスク,短任务,短任務
Hat_SNR,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>Hats,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>Hats,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>帽,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>帽
creditsMain,Create By ykundesu,Create By ykundesu,模组作者：ykundesu,模組作者：ykundesu
creditsFull,Create By ykundesu,Create By ykundesu,模组作者：ykundesu,模組作者：ykundesu
creditsVersion,SuperNewRoles v{0},SuperNewRoles v{0},SuperNewRoles v{0},SuperNewRoles v{0}
vanillaOptionsText,VanillaOptions,バニラの設定,原版设置,原版設定
creditsUpdateOk,There is updated data. Please reboot. Latest Version:v{0},更新データがあります。再起動してください。最新バージョン:v{0},发现新版本。 请重新启动。 最新版本:v{0},發現新版本。 請重新啟動遊戲。 最新版本:v{0}
modOptionsText,Options,設定,设置,設定
moreOptionsText,Normal Setting&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> Settings,通常設定&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>の設定,一般设置与&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>设置,一般設定與&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>設定
HaisonName,Called Game,廃村,解散游戏,結束遊戲
Developer,Developer,開発者,开发者,開發者
Sponsor,Sponsor,スポンサー,支持者,贊助人
Translator,Translator,翻訳,翻译,翻譯
DevAndSpnTitle,Developer & Sponsor,開発者&支援者,开发者与支持者,開發者與贊助人
Analytics,Analytics,解析,解析,解析
