# Key, 日本語, English,SChinese,TChinese
creditsMain,Created by ykundesu,Created by ykundesu,由 ykundesu 制作,由 ykundesu 製作
WelcomeNextSuperNewRoles,新しいSuperNewRolesへ、ようこそ！,A warm welcome to the new SuperNewRoles!,热烈欢迎来到全新的 SuperNewRoles!,熱烈歡迎來到全新的 SuperNewRoles!
Close,閉じる,Close,閉閉,閉閉

Impostor,インポスター,Impostor,内鬼,內鬼
Crewmate,クルーメイト,Crewmate,船员,船員
Neutral,第三陣営,Neutral,第三陣營,第三陣營

NeutralSubIntro,自分の事だけ考えろ。他人の事は利用せよ。,Let's work only for ourselves.Let's Take advantage of others.,你不属于船员或内鬼阵营，需要独自达成胜利条件。,為自己而戰。利用他人，並取得勝利。


# RoleOptionMenu
RoleOptionMenuType.Impostor,インポスター,Impostor,内鬼,內鬼
RoleOptionMenuType.Crewmate,クルーメイト,Crewmate,船员,船員
RoleOptionMenuType.Neutral,第三陣営,Neutral,第三陣營,第三陣營

# CustomOption
CustomOptionFalse,無効,Disabled,无效,無効
CustomOptionTrue,有効,Enabled,有効,有効
BulkRoleButton,役職数一括設定,Bulk Role Setting
NumberOfCrews,人数,Number of Crewmates,人數,人數
NumberOfCrewsSelected,{0}人,{0} Beans
MaxPeople,最大人数,Max Beans,最大人數,最大人數
AssignPer,確率,Assign Percentage,確率,確率
PresetSettings,プリセット設定,Preset Settings,預設設定,預設設定
GeneralSettings,全体設定,General Settings,整體設定,整體設定
ModeSettings,モード設定,Mode Settings,模式設定,模式設定
GameSettings,ゲーム設定,Game Settings,遊戲設定,遊戲設定
MapSettings,マップ設定,Map Settings,地圖設定,地圖設定
MapEditSettings,マップ改造,Map Edit Settings,地圖改造,地圖改造
PresetDefault,プリセット {0},Preset {0},預設 {0},預設 {0}
PresetSelected,プリセット {0},Preset {0},預設 {0},預設 {0}
AddPreset,プリセットを追加,Add Preset,新增預設,新增預設
PresetMenuTitle,プリセット,Preset,預設,預設
PresetPleaseInput,ここにプリセット名を入力,Please input preset name here,請在此輸入預設名稱,請在此輸入預設名稱
PresetSettings.NowPreset,現在のプリセット:,Current Preset:,現在的預設:,現在的預設:
ModeId.Default,通常,Normal,通常,通常
ModeId.BattleRoyal,バトルロイヤル,Battle Royale,戰鬥皇家,戰鬥皇家
ModeOption,モード,Mode,模式,模式
ExclusivityOptionMenuTitle,排他設定,Exclusivity Settings,排他設定,排他設定
ExclusivityOptionMenuMaxText,最大排出数,Max Exclusivity,最大排出數,最大排出數
ExclusivityOptionMenuAssignedRoleText,割当役職,Assigned Role,指派職位,指派職位
ExclusivityOptionMenuGroupText,グループ {0},Group {0},群組 {0},群組 {0}
ExclusivityEditMenuTitle,排他設定の編集,Edit Exclusivity Settings,编辑排他设置,編輯排他設置
ExclusivityEditMenuGroupTitle,グループ {0}の設定,Group {0} Settings,组 {0} 设置,組 {0} 設置
DebugMode,デバッグモード,Debug Mode,偵錯模式,偵錯模式

# AssignRoles
AssignRoles_MaxImpostors,最大 インポスター 選出数,Max Impostors,最大內鬼數,最大內鬼數
AssignRoles_MaxCrews,最大 クルーメイト 選出数,Max Crewmates,最大船員數,最大船員數
AssignRoles_MaxNeutrals,最大   第三陣営   選出数,Max Neutrals,最大第三陣營數,最大第三陣營數

# SyncError
SyncError_Title,<size=150%>エラーが発生しました。</size>,<size=150%>Error occurred.</size>,<size=150%>發生錯誤。</size>,<size=150%>發生錯誤。</size>
SyncError_VersionMismatch,{player}のバージョンが一致しません。(v{version}),{player}'s version does not match. (v{version}),{player}的版本不匹配。(v{version}),{player}的版本不符。(v{version})
SyncError_RpcMapMismatch,{player}の通信番号が一致しません。,{player}'s communication numbers do not match.,{player}的通信编号不匹配。,{player}的通訊編號不符。
SyncError_HashMismatch,{player}の実行ファイルが一致しません。,{player}'s executable files do not match.,{player}的执行文件不匹配。,{player}的執行檔不符。
