Key,English,Japanese,SChinese

# This file is for mod translation
# Lines with "#" as the first character are not recognized
# A one-byte comma "," may not be used except for delimitation.
# So, please use a full-width comma "，".

# このファイルはmodの翻訳をするためのファイルです
# 最初の文字が「#」の行は認識されません
# また、半角のカンマ「,」を用いることはできません。
# 代わりに「，」を使用してください。

# 这个文件是用来翻译mod的
# 带有第一个字符 "#" 的行不会被识别
# 一个字节的逗号", "不得使用，只能用作分隔符。
# 使用全角逗号"，"作为代替。


# Main
rolemodname,SuperNewRoles,SuperNewRoles,超级新职业
StartLogText,Create By ykundesu\nThank You Play SuperNewRoles,作成:ykundesu\nSuperNewRolesをプレイしてくれてありがとうございます!!!!,模组作者：ykundesu\n感谢游玩超级新职业模组！
second,Second,秒,秒
announcementUpdate,<size=125%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> NewData</size>\nVersion:{0}R\n{1}R,<size=200%><color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>の最新情報</size>\n<size=150%>バージョン:{0}R</size>\n{1}R,<size=200%><color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>的最新信息</size>\n<size=150%>版本:{0}重置版</size>\n{1}重置版
GameCommonTasks,Common Tasks,通常タスク,普通任务
GameShortTasks,Short Tasks,ショートタスク,长任务
GameLongTasks,Long Tasks,ロングタスク,短任务
Hat_SNR,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>Hats,<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>Hats,<color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>帽子
creditsMain,Create By ykundesu,Create By ykundesu,模组作者：ykundesu
creditsFull,Create By ykundesu,Create By ykundesu,模组作者：ykundesu
creditsVersion,SuperNewRoles v{0},SuperNewRoles v{0},超级新职业 v{0}
vanillaOptionsText,VanilaOptions,バニラの設定,原版设置
creditsUpdateOk,There is updated data. Please reboot. Latest Version:v{0},更新データがあります。再起動してください。最新バージョン:v{0},发现最新版本。 请重新启动。 最新版本:v{0}
modOptionsText,Options,設定,设置
moreOptionsText,Normal Setting&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> Settings,通常設定&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>の設定,常规设置与&<color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>设置
HaisonName,Haison,廃村,解散游戏
Developer,Developer,開発者,开发者
Sponsor,Sponsor,スポンサー,支持者
Translator,Translator,翻訳,翻译
DevAndSpnTitle,Developer & Sponsor,開発者&支援者,开发者与支持者

# CustomColors
colorSalmon,Salmon,サーモン,鲑鱼红
colorBordeaux,Bordeaux,ボルドー,枣红
colorOlive,Olive,オリーブ,橄榄绿
colorTurqoise,Turqoise,ターコイズ,绿松石
colorMint,Mint,ミント,薄荷绿
colorLavender,Lavender,ラベンダー,薰衣紫
colorNougat,Nougat,ヌガー,棕褐色
colorPeach,Peach,ピーチ,桃红
colorWasabi,Wasabi,ワサビ,芥末绿
colorHotPink,Hot Pink,ホットピンク,热粉
colorPetrol,Petrol Blue,ペトロールブルー,油画蓝
colorLemon,Lemon,檸檬,柠檬黄
colorSignalOrange,Signal Orange,シグナルオレンジ,信号橙
colorTeal,Teal,ティール,蓝绿色
colorBlurple,Blurple,ブラープル,蓝紫色
colorSunrise,Sunrise,サンライズ,日出红
colorIce,Ice,アイス,冰蓝色
colorPitchBlack,Pitch Black,真っ黒,纯黑
colorDarkmagenta,Dark Magenta,ダークマゼンタ,深品红
colorMintcream,Mint Cream,ミントクリーム,奶油白
colorLeaf,Leaf,若葉,叶绿色
colorEmerald,Emerald,エメラルド,翡翠色
colorBrightyellow,Bright yellow,山吹,嫩黄
colorDarkaqua,Dark aqua,濃い水色,湖绿色
colorMatcha,Matcha,抹茶,抹茶色
colorPitchwhite,Pitch white,真っ白,纯白
colorDarksky,Dark sky,雨空,乌云色
colorIntenseblue,Intense blue,インスタントブルー,墨蓝
colorBlueclosertoblack,Blue closer to black,黒寄りの青,黑蓝
colorSunkengreenishblue,Sunken greenish blue,沈んだ緑みの青,绿蓝色
colorAzi,Azi,アジ,深棕色
colorPitchred,Pitch red,真っ赤,纯红
colorPitchblue,Pitch blue,真っ青,纯蓝
colorPitchgreen,Pitch green,真っ緑,纯绿
colorPitchyellow,Pitch yellow,真っ黄色,纯黄
